store_id,store_name,product_id,product_name,category,price,quantity,sale_date,region,city
S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,32.00,1,2024-11-30,宁夏,银川市
S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,36.00,1,2024-11-30,宁夏,银川市
S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,36.00,1,2024-11-30,宁夏,银川市
S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,32.00,1,2024-11-30,宁夏,银川市
S001,星巴克(银川金凤万达店),P002,拿铁,经典咖啡,32.00,2,2024-11-30,宁夏,银川市
S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,32.00,1,2024-11-30,宁夏,银川市
S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,38.00,1,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,35.00,2,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,38.00,1,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,38.00,1,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,36.00,1,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,32.00,2,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,36.00,1,2024-12-01,宁夏,银川市
S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,38.00,2,2024-12-02,宁夏,银川市
S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,32.00,1,2024-12-02,宁夏,银川市
S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,36.00,1,2024-12-02,宁夏,银川市
S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,36.00,1,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,38.00,1,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,28.00,1,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,35.00,2,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,38.00,2,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,36.00,1,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,28.00,1,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,34.00,1,2024-12-03,宁夏,银川市
S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,35.00,1,2024-12-04,宁夏,银川市
S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,34.00,1,2024-12-04,宁夏,银川市
S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,36.00,1,2024-12-04,宁夏,银川市
S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,38.00,1,2024-12-05,宁夏,银川市
S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,36.00,2,2024-12-05,宁夏,银川市
S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,38.00,2,2024-12-05,宁夏,银川市
S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,30.00,1,2024-12-05,宁夏,银川市
S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,36.00,1,2024-12-05,宁夏,银川市
S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,38.00,1,2024-12-05,宁夏,银川市
S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,32.00,2,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,36.00,1,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,28.00,2,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,36.00,1,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,38.00,1,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P001,美式咖啡,经典咖啡,28.00,2,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,38.00,2,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,36.00,1,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,32.00,1,2024-12-06,宁夏,银川市
S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,32.00,2,2024-12-06,宁夏,银川市
